mes,10 GB 30 días,3 GB,Flow Box,Pack Fútbol,Roaming Panama,Roaming Paraguay
Abril 2025,0.0,0.0,2600.0,14100.0,0.0,0.0
Mayo 2025,0.0,0.0,2660.0,14700.0,0.0,0.0
Junio 2025,0.0,0.0,2790.01,15100.0,0.0,0.0
Julio 2025,0.0,0.0,2860.0,15477.0,0.0,0.0
Agosto 2025,0.0,0.0,3000.0,15800.0,0.0,0.0
Septiembre 2025,0.0,0.0,3079.99,16270.0,0.0,0.0
Octubre 2025,0.0,0.0,3169.99,16700.0,0.0,0.0
Noviembre 2025,12000.0,2500.01,3250.0,17200.0,0.0,0.0
Diciembre 2025,6000.0,3500.0,3340.0,17700.0,0.0,0.0
Enero 2026,12000.0,0.0,3400.0,18230.01,0.0,0.0
Febrero 2026,6000.0,3500.0,3500.0,20970.0,0.0,6766.17
Marzo 2026,0.0,0.0,3580.0,21490.0,475.0,0.0
