archivo,mes,n_factura,fecha_emision,fecha_vencimiento,periodo_abono,periodo_consumo,metodo_pago,cae,ref_pago,tipo_registro,descripcion_servicio,numero_linea,abono_hogar_movil,servicios_adicionales,consumos_variables,importe_total,saldo_anterior,pagos_realizados,iva_contenido,impuestos_internos
Factura_Abril_2025.pdf,Abril 2025,04824-58768871,14/03/2025,01/04/2025,14/03 al 13/04,14/02 al 13/03,Debito Automático,75118139647171,1002874683910006,DESCUENTO,Descuento Conexión Total,,,,,-1000.0,,,,
Factura_Abril_2025.pdf,Abril 2025,04824-58768871,14/03/2025,01/04/2025,14/03 al 13/04,14/02 al 13/03,Debito Automático,75118139647171,1002874683910006,RESUMEN_FACTURA,Total Factura,,,,,40536.98,40136.98,40136.98,7035.34,
Factura_Abril_2025.pdf,Abril 2025,04824-58768871,14/03/2025,01/04/2025,14/03 al 13/04,14/02 al 13/03,Debito Automático,75118139647171,1002874683910006,SERVICIO_ADICIONAL,Flow Box,,,2600.0,,2600.0,,,,
Factura_Abril_2025.pdf,Abril 2025,04824-58768871,14/03/2025,01/04/2025,14/03 al 13/04,14/02 al 13/03,Debito Automático,75118139647171,1002874683910006,SERVICIO_ADICIONAL,Pack Fútbol,,,14100.0,,14100.0,,,,
Factura_Abril_2025.pdf,Abril 2025,04824-58768871,14/03/2025,01/04/2025,14/03 al 13/04,14/02 al 13/03,Debito Automático,75118139647171,1002874683910006,SERVICIO_HOGAR,Internet 300 MB + Flow Full,,24836.99,,,24836.99,,,,
Factura_Mayo_2025.pdf,Mayo 2025,04824-67504005,14/04/2025,05/05/2025,14/04 al 13/05,14/03 al 13/04,Debito Automático,75158631784257,1002874683910006,DESCUENTO,Descuento Conexión Total,,,,,-1000.0,,,,
Factura_Mayo_2025.pdf,Mayo 2025,04824-67504005,14/04/2025,05/05/2025,14/04 al 13/05,14/03 al 13/04,Debito Automático,75158631784257,1002874683910006,RESUMEN_FACTURA,Total Factura,,,,,41814.99,40536.98,40536.98,7257.14,
Factura_Mayo_2025.pdf,Mayo 2025,04824-67504005,14/04/2025,05/05/2025,14/04 al 13/05,14/03 al 13/04,Debito Automático,75158631784257,1002874683910006,SERVICIO_ADICIONAL,Flow Box,,,2660.0,,2660.0,,,,
Factura_Mayo_2025.pdf,Mayo 2025,04824-67504005,14/04/2025,05/05/2025,14/04 al 13/05,14/03 al 13/04,Debito Automático,75158631784257,1002874683910006,SERVICIO_ADICIONAL,Pack Fútbol,,,14700.0,,14700.0,,,,
Factura_Mayo_2025.pdf,Mayo 2025,04824-67504005,14/04/2025,05/05/2025,14/04 al 13/05,14/03 al 13/04,Debito Automático,75158631784257,1002874683910006,SERVICIO_HOGAR,Internet 300 MB + Flow Full,,25455.01,,,25455.01,,,,
